cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,total,decision
c0ab93815dfed7ec9a8e26a334dc3fd4,0.8039,0.9,0.0,0.0,1.0,1.0,0.8636,84.23,POST
7533e956d2c6e2d3159cc66fbf139130,0.8466,0.88,0.0,0.0,1.0,1.0,0.8276,84.19,POST
0006a850b0252b4fae6eb7b676ac9308,0.7493,0.9,0.0,0.0,1.0,1.0,0.8421,82.82,POST
cd829511814012d3d0f3b974f8d83231,0.8533,0.88,0.0,0.0,1.0,0.9,0.8261,82.1,POST
b565acf281966fabb3d4531cde4ba847,0.8054,0.96,0.0,0.0,0.8469,1.0,0.8182,82.06,POST
d9fb126c1d3027e719aaf7a624d3dc67,0.7345,0.88,0.0,0.0,1.0,1.0,0.8333,82.03,POST
fc4f39ab40a1ce9620f902cf556d6ed5,0.642,0.9,0.0,0.0,1.0,1.0,0.9091,81.68,POST
eb815160ea64d7fd17d41c9e3084d6b5,0.7516,0.86,0.0,0.0,1.0,1.0,0.7895,81.35,POST
1d8842779f340e2dd848677cca4b91d2,0.6777,0.88,0.0,0.0,1.0,1.0,0.8636,81.35,POST
7fd819f63363cc321b002c7e6524c4b7,0.6573,0.9,0.0,0.0,1.0,1.0,0.85,81.1,POST
ca7078548cbf1a3ede1f2dc10694b760,0.642,0.9,0.0,0.0,1.0,1.0,0.8636,80.99,POST
56ae7a86842a0bfc492045e79912cb8a,0.8577,0.96,0.0,0.0,1.0,0.75,0.8462,80.63,POST
36f7397d4168ccb851f739aff4dc8165,0.8147,0.96,0.0,0.0,1.0,0.75,0.9,80.57,POST
0a412f148bca8b7a14eb6ca67a42e4ae,0.665,0.86,0.0,0.0,1.0,1.0,0.8462,80.47,POST
74fe15db583780571c411377c1f8e0aa,0.6062,0.88,0.0,0.0,1.0,1.0,0.8947,80.39,POST
37c83be726b3c89b70e3a56ec91ab373,0.8494,0.88,0.0,0.0,1.0,0.75,0.9286,80.26,POST
f411506f1bd98530af6503c9a2c47bb4,0.8601,0.6,0.0,0.0,1.0,1.0,0.8824,80.24,POST
bad800b88c1e875e01267e884cb0a6b1,0.8373,0.88,0.0,0.0,1.0,0.75,0.9412,80.2,POST
6e4a25b5a140dd9169f998a01558b8ad,0.8529,0.6,0.0,0.0,1.0,1.0,0.8846,80.13,POST
4f7ff611972b6cdaca74973ae0f05408,0.5762,0.88,0.0,0.0,1.0,1.0,0.9167,80.11,POST
479ae70b0851f93f3626cf11fce35955,0.8581,0.6,0.0,0.0,1.0,1.0,0.875,80.09,POST
502b468e72d60d5293534e774bd0d52b,0.8608,0.88,0.0,0.0,1.0,0.75,0.9,80.06,POST
dd37dc64c0e6bfacf8982d7747ec7ca9,0.8605,0.88,0.0,0.0,1.0,0.75,0.9,80.05,POST
15cbcfa77d37b3e770024737034efa03,0.8557,0.6,0.0,0.0,1.0,1.0,0.875,80.04,POST
eff642690dabdb4ada0d785eedae8a2c,0.8238,0.98,0.0,0.0,1.0,0.75,0.8235,79.97,POST
60a0551d48d502ba83913f60224092a1,0.8334,0.6,0.0,0.0,1.0,1.0,0.8966,79.92,POST
11fc2d3ef5e44129cb0a5a2da493fe82,0.8377,0.6,0.0,0.0,1.0,1.0,0.8889,79.89,POST
c6b5594c4014c025874d3b359c0a1a33,0.8473,0.6,0.0,0.0,1.0,1.0,0.875,79.87,POST
872f21ccf100612431ee3a770ea6925b,0.811,0.96,0.0,0.0,1.0,0.75,0.8571,79.86,POST
13ae20b64b9a7895bf4b3ca0a16861e1,0.8473,0.9,0.0,0.0,1.0,0.75,0.875,79.77,POST
ebc6aacb925f33eb5fb74599c13d16a2,0.8593,0.9,0.0,0.0,1.0,0.75,0.8571,79.74,POST
6a1c71efb390dd777b87644205140da5,0.8435,0.88,0.0,0.0,1.0,0.75,0.9,79.71,POST
da16bf30b680c2873928edf9104201d5,0.8521,0.6,0.0,0.0,1.0,1.0,0.8571,79.7,POST
1a22bcc32206597421903ea9ff5a2325,0.7932,0.98,0.0,0.0,1.0,0.75,0.8462,79.7,POST
39c1daddd9948ed50cb1b3e61f2361b9,0.8521,0.88,0.0,0.0,1.0,0.75,0.8846,79.65,POST
ed7cd231b4cc73e28f25f86c233aa749,0.8482,0.88,0.0,0.0,1.0,0.75,0.8889,79.64,POST
04b7683c2714fb11c17839add2cfba3e,0.8327,0.88,0.0,0.0,1.0,0.75,0.9048,79.56,POST
a5519fc0080aba91ae13c436153be379,0.7819,0.96,0.0,0.0,1.0,0.75,0.875,79.54,POST
35422cce7135acefe02a594b174ed50d,0.8192,0.88,0.0,0.0,1.0,0.75,0.92,79.52,POST
c2e8fd564af9a9a376d6c2bdf4d3a373,0.8031,0.6,0.0,0.0,1.0,1.0,0.9091,79.5,POST
0e01f6fa32032c1dbb7dcbf728884a50,0.7972,0.95,0.0,0.0,1.0,0.75,0.8636,79.5,POST
843b4cdc7d8cfac92b30bd8286305e62,0.833,0.6,0.0,0.0,1.0,1.0,0.8636,79.42,POST
3ddbc1a0cc7b5e1a476917cdba43d68e,0.8136,0.6,0.0,0.0,1.0,1.0,0.8889,79.41,POST
8a50797a3d7624ee275e38397162d346,0.8012,0.6,0.0,0.0,1.0,1.0,0.9048,79.4,POST
2f6ef811b34ad69634a7217ca5dab1d0,0.7833,0.95,0.0,0.0,1.0,0.75,0.875,79.39,POST
de67cdd9ea0b0f32b86c3c5a5e2f6ff5,0.8474,0.6,0.0,0.0,1.0,1.0,0.8421,79.38,POST
523e5a7ea361f57d79726a7f245f7465,0.8608,0.6,0.0,0.0,1.0,1.0,0.8235,79.37,POST
a28f1bbe1ba1d21ba52eabad4d82ab10,0.8584,0.88,0.0,0.0,1.0,0.75,0.8571,79.36,POST
64deb3666061d7a174fff9e1535f9649,0.8155,0.6,0.0,0.0,1.0,1.0,0.8824,79.35,POST
31fe49fc0099e41add48cd30124bf005,0.8341,0.6,0.0,0.0,1.0,1.0,0.8571,79.34,POST
fe7e3f0f838be860c6c15865e0e07d28,0.8473,0.9,0.0,0.0,1.0,0.75,0.8462,79.34,POST
8f4ae76967ac851d298f694faa181d84,0.8517,0.6,0.0,0.0,1.0,1.0,0.8333,79.33,POST
f38c88131216e1baac338c933279bf20,0.8291,0.9,0.0,0.0,1.0,0.75,0.8667,79.28,POST
3901eb2fa514cfa7ca93c7e82c2845a9,0.8473,0.6,0.0,0.0,1.0,1.0,0.8333,79.25,POST
916244dedcfa7be1727a273d3e73bdc0,0.8238,0.6,0.0,0.0,1.0,1.0,0.8636,79.23,POST
d3709424829b3270fc8c5e8733d8fc1f,0.8284,0.6,0.0,0.0,1.0,1.0,0.8571,79.23,POST
f2a1e2388694cd8e9a6c75ce5be8dfca,0.7957,0.6,0.0,0.0,1.0,1.0,0.9,79.21,POST
47d6641e80dde42fec20c09fea7ceca6,0.8112,0.88,0.0,0.0,0.704,1.0,0.875,79.16,POST
d811b4f54457d54df12af32cc93b855b,0.8277,0.9,0.0,0.0,1.0,0.75,0.8571,79.11,POST
ef9ec669c3e879ff1ec30646e7fcf6a7,0.7812,0.96,0.0,0.0,1.0,0.75,0.8462,79.1,POST
ffc9896c1373bf67a33b65cff59b5f32,0.847,0.6,0.0,0.0,1.0,1.0,0.8235,79.09,POST
9a2099ae26a611ee8f8df23e32b1e8b3,0.5488,0.88,0.0,0.0,1.0,1.0,0.8846,79.09,POST
1db2ded573c0d3c80db6d44b53cbe0c7,0.8307,0.88,0.0,0.0,1.0,0.75,0.875,79.08,POST
b0cb9fa227581f6e719cf53c5294a8ab,0.8235,0.88,0.0,0.0,1.0,0.75,0.8846,79.08,POST
d510999c6ee1f4f80d917af6347129c9,0.8494,0.88,0.0,0.0,1.0,0.75,0.85,79.08,POST
41ffcdfb19b442f2340a50fe0c40e7af,0.7969,0.6,0.0,0.0,1.0,1.0,0.8889,79.07,POST
384ebf1ad18a2de184a94bc5d4b1cc28,0.8197,0.88,0.0,0.0,1.0,0.75,0.8889,79.07,POST
37da96b647322f310627f0c54a425e5c,0.787,0.6,0.0,0.0,1.0,1.0,0.9,79.04,POST
d5e3002eafe972dedcd0282e9020a645,0.8478,0.6,0.0,0.0,1.0,1.0,0.8182,79.03,POST
d36bfcea6b8fece46f9a982c9768a187,0.8573,0.9,0.0,0.0,1.0,0.75,0.8095,78.99,POST
3d32c920e83b15e84ec4e83c592c1b73,0.8189,0.88,0.0,0.0,1.0,0.75,0.8846,78.99,POST
abc75a9970ec31d4870e984982115c47,0.8466,0.88,0.0,0.0,1.0,0.75,0.8462,78.97,POST
3652159b5ffc75fc9af78b04abb601ec,0.814,0.6,0.0,0.0,1.0,1.0,0.8571,78.94,POST
2fda19fbf46e4d1a9cb3cab3403890ec,0.7779,0.6,0.0,0.0,1.0,1.0,0.9048,78.93,POST
db5f0edce0cc3e348c7989406facf232,0.8129,0.6,0.0,0.0,1.0,1.0,0.8571,78.91,POST
dd789183203e3732aeee9c87ab26b53f,0.8377,0.6,0.0,0.0,0.9484,1.0,0.8824,78.91,POST
ce58e4ba603a67975676411a86f17782,0.8031,0.6,0.0,0.0,1.0,1.0,0.8696,78.91,POST
f21a236f3fc5324cacdf569b4512d7db,0.7812,0.96,0.0,0.0,1.0,0.75,0.8333,78.9,POST
