cluster_id,volume_twitter,engagement_twitter,velocity_fused,sentiment_mean,sentiment_var,trends_interest,trends_velocity,trends_topics,sample_users
59495c89bd6a811f2f230a3eddd14dc0,108,0.0183,0.3176,-0.0349,0.1,0.0,0.0,,
8dc0f45132ab1588c8b39088f2ab1700,95,0.008,0.3939,0.2536,0.1,0.0,0.0,,
653f5657dc903b6a236e6bb1c7e30a3b,92,0.3547,0.57,-0.1581,0.1,0.0,0.0,,
65db0d58aa108b6c609ebe1892d9bd4e,67,0.3374,0.1137,-0.3153,0.1,0.0,0.0,,
f261e3dc50b9f154f14760d635197192,11,0.0113,0.0228,0.3328,0.1,0.0,0.0,,
3baaba33992e71457e9ac52acb0a9c50,94,0.0831,0.6513,-0.3609,0.1,0.0,0.0,,
c5121ba7b85d7b6bea3d1defdad0e006,56,0.103,0.438,0.1463,0.1,0.0,0.0,,
9b085431a0ceb5d07f51de38222bcbff,48,0.1532,0.1012,0.277,0.1,0.0,0.0,,
c7c84eae88e6d974aeee34bacc6db015,13,0.2777,0.2051,-0.3672,0.1,0.0,0.0,,
dcc34e77b15c8bc4c8978c0721017edf,104,0.1837,0.4107,0.2203,0.1,0.0,0.0,,
8d4b4106c2d0f5dfd6749953e975592f,115,0.184,0.1072,0.1522,0.1,0.0,0.0,,
c058e8624243a7e4389b8efeaf1dc717,35,0.4021,0.245,-0.1461,0.1,0.0,0.0,,
572cea8fa774ddea15e98d15c9c5183e,47,0.2148,0.3925,-0.2685,0.1,0.0,0.0,,
5c9f81a594531db65b727edd48ef030b,114,0.1009,0.4338,-0.3984,0.1,0.0,0.0,,
d50568662c799b882dfe5049414d094f,13,0.2573,0.6801,0.2954,0.1,0.0,0.0,,
3d1a3e3c7512de438fe96703929e6d5f,24,0.3628,0.0766,0.2733,0.1,0.0,0.0,,
b1061bc45a1add06a9d1e984ff050160,5,0.0266,0.3258,0.0767,0.1,0.0,0.0,,
04605c2bb89173a1f9325e45419eeb74,107,0.4451,0.2941,-0.1003,0.1,0.0,0.0,,
3a9d089a0053a76de8beb0ff77d96b3c,34,0.0648,0.2927,-0.0092,0.1,0.0,0.0,,
5c38d3587cf2c9346adcd82073d2cc98,12,0.436,0.363,0.2252,0.1,0.0,0.0,,
16509185820bde7000cc26aeb6d9ca00,85,0.423,0.4359,0.0416,0.1,0.0,0.0,,
cfdf7270943cd3b839853d9904a2a87a,50,0.4766,0.2799,0.2882,0.1,0.0,0.0,,
59103eba30eb2aade03f9bd89ba45879,109,0.394,0.5919,-0.2711,0.1,0.0,0.0,,
40c627686bddb9817937686932979f9e,115,0.0579,0.3026,0.2587,0.1,0.0,0.0,,
5228a19a57a7d72a3f3db57594a5595b,101,0.197,0.5632,0.3742,0.1,0.0,0.0,,
4d44dda5bc01f9b94d86f3d139b03956,29,0.2391,0.3608,-0.1321,0.1,0.0,0.0,,
54a4aa9ead82a996736d7915dc4beff1,118,0.4418,0.1598,-0.0284,0.1,0.0,0.0,,
d9e616ef8b0bbc2560713169bb609f94,98,0.3491,0.6254,0.0977,0.1,0.0,0.0,,
1c087e4fe04d57f4f23d09666a00d4b7,58,0.0061,0.6752,-0.0525,0.1,0.0,0.0,,
