cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
29c855a2a48819ff3d403c40d8ec38f0,0.9749,0.88,0.5958,0.039,0.7607,1.0,0.0,0.85,57.47,WATCH
59103eba30eb2aade03f9bd89ba45879,0.5953,0.6,0.6946,0.4608,0.9826,0.75,0.0,0.85,51.41,WATCH
538f3d6043b38455c1814a4f3986c0b9,0.9861,0.6,0.3456,0.4552,0.8548,0.75,0.0,0.85,50.99,WATCH
915832511e7b422bc1c00c9d3d225ccc,0.9861,0.6,0.2664,0.1369,0.948,0.75,0.0,0.85,47.73,DROP
5c38d3587cf2c9346adcd82073d2cc98,0.6256,0.6,0.6093,0.3328,0.9055,0.65,0.0,0.85,47.46,DROP
43818eb0c6d7ba1069726312cbc55d7a,0.9608,0.88,0.5477,0.3221,0.9214,0.0,0.0,0.85,47.43,DROP
7e4fa4b01f3caf1a4191f2a73b2cbf9d,0.9861,0.6,0.3766,0.0505,0.7252,0.75,0.0,0.85,46.97,DROP
7543d40a7245053c3b4d9bea4b320c2b,0.5246,0.6,0.6881,0.4146,0.6528,0.75,0.0,0.85,46.9,DROP
243aae367195cfe58d09005ecb184fe4,0.9861,0.6,0.6494,0.1806,0.7759,0.75,0.0,0.85,46.77,DROP
65db0d58aa108b6c609ebe1892d9bd4e,0.5305,0.9,0.1731,0.1474,0.9649,1.0,0.0,0.85,45.64,DROP
a7ebeb026e8b2f4380d5b838e568d91d,0.9861,0.6,0.6007,0.4507,0.7721,0.0,0.0,0.85,45.02,DROP
80dc5f799cb18138249aa1af3ca00137,0.7799,0.88,0.6189,0.17,0.9137,0.0,0.0,0.85,44.21,DROP
fb3adba78eeb69aa491d2adae3b43047,0.9861,0.6,0.1653,0.2408,0.606,0.75,0.0,0.85,43.98,DROP
a461a2fa41793580d91a245635b6bde7,0.8843,0.88,0.4798,0.2115,0.8474,0.0,0.0,0.85,43.41,DROP
6ca16f6f114737146603cdacb25a04be,0.9861,0.6,0.4904,0.4256,0.7315,0.0,0.0,0.85,42.59,DROP
59495c89bd6a811f2f230a3eddd14dc0,0.6321,0.9,0.2022,0.1301,0.7091,0.75,0.0,0.85,42.35,DROP
58087fc006feedd3e363040342a45e4d,0.9861,0.6,0.4685,0.4397,0.7,0.0,0.0,0.85,42.07,DROP
3d1a3e3c7512de438fe96703929e6d5f,0.6343,0.6,0.3211,0.1555,0.9324,0.65,0.0,0.85,41.43,DROP
d50568662c799b882dfe5049414d094f,0.6347,0.6,0.2478,0.2733,0.9346,0.65,0.0,0.85,41.21,DROP
88f8cfcfc8e1d4d1a7ac0b66dd335ad8,0.9861,0.6,0.3166,0.3497,0.9687,0.0,0.0,0.85,41.0,DROP
